constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
starlink,550,isls,1590,1589,Bogota,Mexico-City,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%)
telesat,1015,isls,357,355,Bogota,New-York,16.01 ms,16.01 ms,31.82 ms,32.03 ms,32.61 ms,0.23 ms,199968/200000 (100%)
telesat,1015,isls,357,360,Bogota,Sidney,60.24 ms,60.24 ms,118.59 ms,120.48 ms,124.10 ms,1.98 ms,199881/200000 (100%)
starlink,550,isls,1585,1587,Barcelona,Los-Angeles,36.97 ms,36.97 ms,72.74 ms,73.94 ms,80.41 ms,1.10 ms,199928/200000 (100%)
kuiper,630,isls,1164,1162,Tokyo,Bogota,54.89 ms,54.89 ms,108.17 ms,109.78 ms,113.49 ms,2.10 ms,199892/200000 (100%)
telesat,1015,isls,360,357,Sidney,Bogota,60.24 ms,60.24 ms,118.59 ms,120.48 ms,124.10 ms,1.98 ms,199881/200000 (100%)
telesat,1015,isls,353,351,Riyadh,Madrid,19.08 ms,19.08 ms,38.01 ms,38.17 ms,38.70 ms,0.18 ms,199962/200000 (100%)
telesat,1015,isls,358,356,Cairo,Mexico-City,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%)
kuiper,630,isls,1164,1160,Tokyo,New-York,44.15 ms,44.15 ms,86.69 ms,88.30 ms,91.12 ms,1.85 ms,199913/200000 (100%)
kuiper,630,isls,1160,1163,New-York,Cairo,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%)
starlink,550,isls,1587,1589,Los-Angeles,Mexico-City,11.10 ms,11.10 ms,20.50 ms,22.21 ms,28.26 ms,1.02 ms,199980/200000 (100%)
starlink,550,isls,1588,1585,New-York,Barcelona,25.28 ms,25.28 ms,49.29 ms,50.56 ms,59.19 ms,0.37 ms,199950/200000 (100%)
starlink,550,isls,1584,1586,Madrid,Riyadh,24.84 ms,24.84 ms,47.06 ms,49.69 ms,58.28 ms,2.95 ms,199942/200000 (100%)
kuiper,630,isls,1158,1163,Riyadh,Cairo,7.98 ms,7.98 ms,14.22 ms,15.96 ms,20.00 ms,2.21 ms,199986/200000 (100%)
kuiper,630,isls,1162,1159,Bogota,Los-Angeles,23.97 ms,23.97 ms,46.68 ms,47.94 ms,50.55 ms,0.67 ms,199953/200000 (100%)
telesat,1015,isls,352,351,Barcelona,Madrid,8.20 ms,8.20 ms,14.58 ms,16.41 ms,18.72 ms,1.13 ms,199986/200000 (100%)
starlink,550,isls,1593,1589,Sidney,Mexico-City,68.47 ms,68.47 ms,130.62 ms,136.95 ms,145.35 ms,4.71 ms,199859/200000 (100%)
starlink,550,isls,1588,1591,New-York,Cairo,35.26 ms,35.26 ms,66.76 ms,70.53 ms,82.16 ms,2.25 ms,199932/200000 (100%)
starlink,550,isls,1592,1586,Tokyo,Riyadh,49.97 ms,49.97 ms,91.78 ms,99.93 ms,120.24 ms,9.06 ms,199885/200000 (100%)
starlink,550,isls,1591,1593,Cairo,Sidney,74.15 ms,74.16 ms,142.45 ms,148.31 ms,154.36 ms,5.00 ms,199846/200000 (100%)
telesat,1015,isls,360,354,Sidney,Los-Angeles,47.99 ms,47.99 ms,88.11 ms,95.98 ms,99.28 ms,4.15 ms,199912/200000 (100%)
telesat,1015,isls,356,357,Mexico-City,Bogota,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%)
kuiper,630,isls,1162,1156,Bogota,Madrid,32.74 ms,32.75 ms,63.40 ms,65.49 ms,68.12 ms,1.43 ms,199935/200000 (100%)
telesat,1015,isls,352,354,Barcelona,Los-Angeles,34.65 ms,34.65 ms,69.19 ms,69.30 ms,69.65 ms,0.11 ms,199931/200000 (100%)
telesat,1015,isls,357,352,Bogota,Barcelona,30.79 ms,30.79 ms,61.54 ms,61.57 ms,61.69 ms,0.03 ms,199939/200000 (100%)
telesat,1015,isls,354,360,Los-Angeles,Sidney,47.99 ms,47.99 ms,88.11 ms,95.98 ms,99.28 ms,4.15 ms,199912/200000 (100%)
kuiper,630,isls,1161,1164,Mexico-City,Tokyo,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%)
starlink,550,isls,1586,1593,Riyadh,Sidney,64.58 ms,64.59 ms,127.86 ms,129.17 ms,140.64 ms,2.94 ms,199860/200000 (100%)
starlink,550,isls,1584,1593,Madrid,Sidney,68.03 ms,68.03 ms,131.19 ms,136.06 ms,141.94 ms,4.02 ms,199868/200000 (100%)
starlink,550,isls,1590,1584,Bogota,Madrid,38.90 ms,38.90 ms,73.09 ms,77.80 ms,86.37 ms,5.61 ms,199922/200000 (100%)
telesat,1015,isls,360,351,Sidney,Madrid,70.03 ms,70.04 ms,139.53 ms,140.07 ms,140.53 ms,0.29 ms,199860/200000 (100%)
kuiper,630,isls,1157,1165,Barcelona,Sidney,66.87 ms,66.87 ms,132.52 ms,133.74 ms,138.66 ms,1.02 ms,199864/200000 (100%)
kuiper,630,isls,1164,1157,Tokyo,Barcelona,41.79 ms,41.79 ms,80.95 ms,83.57 ms,86.05 ms,1.02 ms,199916/200000 (100%)
